bin_left,bin_right,actual_count,predicted_count
409.14876372677094,428.2605726302251,2,0
428.2605726302251,447.37238153367923,9,0
447.37238153367923,466.4841904371334,8,13
466.4841904371334,485.5959993405876,10,9
485.5959993405876,504.70780824404176,8,24
504.70780824404176,523.8196171474959,9,9
523.8196171474959,542.93142605095,14,15
542.93142605095,562.0432349544042,5,19
562.0432349544042,581.1550438578583,3,18
581.1550438578583,600.2668527613125,8,11
600.2668527613125,619.3786616647667,11,8
619.3786616647667,638.4904705682209,11,9
638.4904705682209,657.602279471675,5,4
657.602279471675,676.7140883751292,7,9
676.7140883751292,695.8258972785834,6,0
695.8258972785834,714.9377061820376,5,0
714.9377061820376,734.0495150854917,5,0
734.0495150854917,753.1613239889459,4,0
753.1613239889459,772.2731328924,3,0
772.2731328924,791.3849417958542,3,0
791.3849417958542,810.4967506993083,3,0
810.4967506993083,829.6085596027624,2,0
829.6085596027624,848.7203685062166,2,0
848.7203685062166,867.8321774096707,2,0
867.8321774096707,886.9439863131249,3,0
