K283G_Actual_Wavelength,K283G_Predicted_Wavelength
883.9137013393809,593.8835935117046
670.2198203880475,535.658412404911
628.251506204233,500.35187059887477
607.0226160146337,459.11013870830357
780.6987926209305,573.1461981726573
642.8986551252577,538.5753376236318
535.7046846205708,507.9092493888266
498.58275004623226,460.7902826274322
622.3418691115698,628.1001685605094
561.8216819589815,582.955603775619
472.2113819267588,528.8895047310449
468.41237311769976,464.3565947992726
543.4020887360975,564.301606234222
537.7181402118088,524.6077282574943
516.530324335695,488.5197273465097
461.3252547412272,455.2762918705853
617.8885202787397,570.7488722143979
582.2590726071375,534.7829601752558
525.2228710201773,498.0362555015197
474.0915867474108,458.21913698132056
740.6119263339035,617.6127608707328
554.1582209989137,560.0797185669801
535.9343041207514,523.0606541264322
458.84806274078306,483.67963689753583
880.4209657324252,644.5326719424121
723.639895856916,582.8064418052686
722.9494731819235,546.7935444811155
632.392256729312,491.7296619737425
497.6407139430207,566.7296685575767
497.45831709318554,530.3133384473277
491.98994120588014,492.253839258757
440.4613935179751,457.0924210768764
702.530986930159,593.8219194711082
563.8065338640872,539.3687018148275
530.0139019122432,507.9694347213054
444.08127459114854,460.84556561059446
541.0646069213947,655.303532738581
535.491750516534,593.7677131921919
487.4922070220345,562.8686567563248
433.0962101744829,498.25281350726436
811.4085811188739,551.4890067289961
562.1979705080112,518.892515279213
537.9662578714598,492.6074691721153
512.4270076990571,456.7300198920809
777.938865544766,557.1092004803668
600.621012444145,523.4632622670797
542.186274381016,497.8788207364236
465.0502083970718,459.041343689472
531.1618701728952,667.7762920235091
512.4795727152284,603.1111234187648
461.3750527457096,566.5309424012705
439.08770624317685,500.10620685865706
521.100260437306,606.9140550642841
483.7254116604983,552.8605251298926
436.54816744024527,524.5354105626743
435.4205846674595,474.585627503066
667.2196459071486,567.7813006975132
612.0925607041158,522.9144869054401
601.0785238321068,488.36019581607457
528.319509214999,456.0791471627554
537.15336537158,609.1826086268559
490.2480245716277,550.8699950513528
452.46005007544727,521.2204979221316
445.389627165038,474.1625063616918
734.7944791925964,595.9817304415905
547.5685472748764,546.7388424728413
541.7917029056425,512.9757208474274
410.2175269194429,460.45706019351525
756.8871065276188,671.3899656958682
593.6332318004021,606.3645676292886
576.3863476427989,570.2959581457844
432.9465330789165,501.27414463826926
856.8205559786115,676.4503859946586
783.8522772905812,606.852925688412
713.2657186728048,552.3538084984083
625.3167938440248,488.69779539510307
747.8713425682434,661.4424054196649
603.1552420896735,586.0369991927247
595.564757016147,546.1080427146147
485.2427962802294,494.55009686613283
830.7247157185855,674.9160601186472
757.700100136476,604.2077953938038
690.5728477532277,549.9826973542606
600.9108578215097,488.4467375496115
664.6014143673349,675.1365615309454
619.3985689213596,604.8283473657219
518.9311182718285,550.5530394664775
476.479471533738,488.5013301494244
842.6916860042331,666.0892939838093
796.4037391842754,595.0202449039062
699.9965012999407,547.3757045373977
618.6272937304973,489.3644912149557
684.8335589144109,664.0559457044523
639.2340997346352,587.1435571938837
540.7862787971517,546.2546601286335
463.993622474613,494.96424955090373
671.8581231834347,667.04258410448
643.7564184523649,594.1505346586259
621.0629468009321,544.5066625824181
506.3518049542334,488.55809358387415
855.1238526305019,634.2784054547628
807.3029294437728,569.9917088432725
693.630585231437,527.0273688681189
622.8585413415191,482.27082265786885
690.5706497394297,569.6409190572108
523.0915200206745,548.7024144099844
514.9557170623666,496.68241758246603
439.6166473876625,451.2298031073041
683.4840680000094,572.3632252353217
588.9179303042077,550.90241408194
520.3435647859537,497.5832406399226
409.14876372677094,451.0582143527339
886.9439863131249,625.0978407445684
642.6408561991865,568.325376492642
628.2031712590773,539.3359648177762
463.27141934123927,486.85834662370274
763.6971532386463,628.6426389424803
614.438065200578,557.7782012905695
602.8261380349064,523.3120810687475
485.63359502806384,487.67052968284105
797.2464124719116,649.4742049751057
626.3495502176121,594.0014822274534
590.7949413092078,559.6917981701773
468.8188247721748,489.6773681265577
810.9142535647107,622.6132924568627
696.6767437590739,569.6896251519628
675.2113039371985,533.7225757953543
587.6273972043278,483.15564603973786
753.1005291822447,626.129100900059
717.7043943276791,571.491980500082
595.5882682549858,540.2873400631787
471.386956858488,485.2120697773688
718.8768641364126,649.756268083517
663.635620780502,578.596164762983
582.0955673810182,543.0977938768627
464.11249093948686,492.5532528244852
702.9841813969207,632.929856080768
667.6836915769329,570.1310602164673
605.5890594509863,533.0854160332784
476.88068303052614,484.4130477447846
655.3756203496673,625.8906608440623
622.5483330307354,569.0152540429872
545.5066529648574,537.6721880714987
483.32506375321367,485.1045474479498
727.5555322066733,628.6283005974833
691.9425182055923,566.3855773497748
621.1149307573604,528.6026667725525
488.7959546557436,482.159386684905
