Actual Wavelengths,Predicted Wavelengths
575.5486722407551,647.5839932935014
563.2357159535104,579.4847410271341
552.1882003404754,520.5167560034487
480.8285145314334,473.5597351716912
558.2422870681537,651.5219920129199
517.8796160593799,603.1751175761286
496.91003110273726,558.2590787683963
438.34312406435185,480.98546687006615
520.7716623631878,622.3336570054632
491.4657762841836,573.4925467162719
459.1061029507962,533.8977944392574
432.327197044576,473.2790498820105
558.5021808890314,607.5780240797303
534.152745696776,561.5546453060592
474.11215856882217,514.1685153496724
465.01940426241794,462.89046747125104
753.1005291822447,646.6026001004931
717.7043943276791,588.6638648087688
595.5882682549858,553.0244365433571
471.386956858488,488.12550708899994
579.4580149243694,605.358740449631
570.3064167873396,562.5491507671193
509.617360517563,516.8405373804194
474.26983647895366,464.8113769630937
807.2637375769092,653.0950259340108
660.4987789000014,608.6355385938198
614.3881041443576,572.940134679415
458.0317942493817,490.6578473826432
527.6626860286387,605.7201675931432
522.1136152796408,554.5610556483583
461.8948823953812,527.7788930467513
457.9227390710761,476.0820778481868
562.1902011710922,655.4624203224029
538.0679709738802,591.2493055833093
525.095211952674,518.5173817583159
471.46041520475393,471.4071665850478
846.2989795017129,598.1339606487338
519.3340435775315,558.1775384997874
476.0801284568726,506.84924912781565
472.4757093430973,458.41728491355303
579.5766879867067,658.8319761637433
514.568213188165,596.225849492049
503.4052784630531,545.3679176306451
479.76497042240504,483.7481605849286
633.7378824024624,638.4785739116331
539.8244226081974,589.5044556884117
535.1941030202516,549.8232657566339
459.2618719271435,479.3453775915305
510.1714411665308,606.963648038544
504.062559665145,550.2692309256247
489.361788908185,527.5047768577223
450.1084735005105,479.3809455684348
618.195107495944,654.6620317112354
588.2131356102992,596.7099737855272
514.4387101205367,536.5233929640955
456.5515428264905,467.5324162971992
810.2016234377421,659.7856518073767
743.825298279839,602.3852015992427
656.114776468272,535.0879282986356
605.537227430502,464.60349460070915
734.7944791925964,648.6545748120041
547.5685472748764,585.2378219882784
541.7917029056425,538.5886594716021
410.2175269194429,481.5332193838464
573.7943117669732,603.4367290101109
565.8129079900003,563.975618498518
517.0931507506743,515.2432144435792
458.7169576715217,462.86638525071294
664.6014143673349,665.4253872968872
619.3985689213596,595.8310980210968
518.9311182718285,542.1576294468177
476.479471533738,483.09870557580376
622.3418691115698,640.9957691090054
561.8216819589815,587.6423199824552
472.2113819267588,532.973649936981
468.41237311769976,467.64568784261644
680.3067441056282,658.3294123209561
636.8202661301145,600.2325683428674
494.8083296652253,533.6307576045135
447.2748230458219,464.2710645354862
