bin_left,bin_right,actual_count,predicted_count
289.52337896433556,313.8538800191338,2,0
313.8538800191338,338.18438107393195,0,0
338.18438107393195,362.51488212873016,0,0
362.51488212873016,386.8453831835284,1,0
386.8453831835284,411.17588423832655,2,0
411.17588423832655,435.50638529312477,11,0
435.50638529312477,459.8368863479229,43,3
459.8368863479229,484.16738740272115,46,86
484.16738740272115,508.49788845751937,34,15
508.49788845751937,532.8283895123175,52,14
532.8283895123175,557.1588905671158,37,74
557.1588905671158,581.4893916219139,26,51
581.4893916219139,605.8198926767121,28,46
605.8198926767121,630.1503937315103,28,43
630.1503937315103,654.4808947863085,18,36
654.4808947863085,678.8113958411068,15,20
678.8113958411068,703.1418968959049,15,11
703.1418968959049,727.4723979507031,9,1
727.4723979507031,751.8028990055013,8,0
751.8028990055013,776.1334000602994,2,0
776.1334000602994,800.4639011150978,4,0
800.4639011150978,824.7944021698959,8,0
824.7944021698959,849.1249032246942,2,0
849.1249032246942,873.4554042794923,3,0
873.4554042794923,897.7859053342904,6,0
