A36E_Actual_Wavelength,A36E_Predicted_Wavelength
696.7534509928574,639.8881241960299
617.953970435682,589.4202215939305
586.9941937714807,546.8774222901793
520.0029818847727,473.4375520599559
871.8903709476441,622.1590628042104
808.6992940453625,579.3040558264165
789.1294533825247,547.4590737562625
625.6326029029589,480.24252364579087
527.0121877424567,635.2140935587101
521.0199339223939,569.0072979114786
491.99350066419214,540.342332727813
436.9867045585649,459.23642946111124
642.842507531412,640.1059109434079
579.1742076049975,589.2520338200221
544.821802333994,547.7258269993921
493.9872074384884,473.0967947625222
801.2653781072617,621.292419320073
731.3363564023596,578.4658996890475
716.0470201082765,545.9670627305568
586.8406411222211,480.0768177132658
578.1348301689227,634.1876039109121
557.3629908126866,597.3333180045086
547.806739631287,557.1107116755131
481.1148231652136,489.33528096804287
673.1033773963994,639.1355248121941
602.4516648767809,588.0845908531381
588.3551751642307,546.9346243431439
520.5575255595601,472.57794369850166
504.3539332100116,635.7205501152164
498.2365942629005,569.3315376589222
460.5035078816221,540.2871268580323
453.10520090102193,459.3293635742737
808.9820195810361,621.6009231360217
737.6270040010118,579.500113163282
718.5840110078352,546.5839574515189
587.0235374380363,480.75865460877475
652.678573908941,621.0421898164319
629.7985921685502,577.4777027802666
622.2284063047605,545.5157749347702
473.93713311076897,479.4754272589003
528.3165074233303,647.0011920649623
497.3431993846251,576.383490025145
457.7556894064108,543.8896244429186
454.0423109175739,460.9914670606955
670.0596517449959,636.970276668092
612.7939587726802,586.316406163376
588.7457955390164,545.2379369207517
524.9986463351058,472.13368707507334
830.1292858466161,622.8241282735348
732.266908333465,578.2110334127523
692.1433905657562,548.6506436945567
593.7696989780121,479.1205631741282
514.0714714786966,636.3356409780441
508.04603117539824,587.7963883634553
478.1468825417848,547.1468084060581
460.4512454363179,474.7067261165557
630.3282482897991,636.0333395661659
605.5789177029181,584.588702083765
556.1921797987364,544.4223593708949
521.7514128822139,471.24038206106206
581.8584323561282,636.7934611443368
511.72573295896575,570.397122381068
473.1242150542286,540.7994503879227
458.3567816809858,460.0934953768789
821.9933564063326,621.6250977763864
729.9181171662959,579.2173584385038
702.8692286502011,546.4837082998506
604.4447867751416,480.4924474124321
486.0421852066818,643.6342054823372
465.63583505789865,579.6318964138842
463.087972029255,537.1880086651233
462.9537746466754,470.32670743394533
534.782207705619,649.3200563226828
528.9673451985138,586.3136685379
490.3331783758491,543.765849398125
452.6201538001583,475.17484754670255
585.7394020133004,640.3337872388321
