Training Set Size,Train RMSE Mean,Train RMSE Std,Test RMSE Mean,Test RMSE Std
60,35.55065464481526,2.887159242230682,39.02871656996144,3.6598572223304418
70,35.38504002623928,2.796428353714884,39.102777383508126,3.605541980740637
80,35.55739356592945,2.2883728019934115,38.85381426639126,3.585142865884942
90,35.599317613502805,2.3060006128254424,38.57227032652596,3.545602565967123
100,35.81934568429043,2.0535052632380006,38.462658111857756,3.5390336019739626
110,35.9147570113052,1.8769889939620845,38.549872054070605,3.5997498457785713
120,36.146212440138584,1.5807545452152043,38.32072418649205,3.3719274100447563
130,36.41235834176774,1.5695075546880246,38.29787932297509,3.4644905420169163
140,36.516207194586165,1.549693623717899,38.21610562574352,3.490416850759152
150,36.54643251487208,1.476588264963861,38.20662273855934,3.4632530372976857
160,36.22545265232555,1.3205667647667954,38.214084460089765,3.4208289507067997
170,36.43557231109736,1.2202575095361679,38.12350132973129,3.494056861104408
180,36.494086708639955,1.2588330624197208,38.11761219244331,3.435611940470201
190,36.52854671024201,1.1311508190824349,38.064975241108144,3.399709479430111
