Actual Wavelengths,Predicted Wavelengths
656.1290436899292,664.933345032946
647.2583854153044,620.5276971455056
627.4196766298201,584.2168016716976
479.0964321215763,490.79847968160834
628.3419593131739,634.6213962612451
586.2749066373407,581.0383416159029
543.221784849254,506.74325689131786
446.7457013652693,452.78446062498784
830.7247157185855,659.3937545469404
757.700100136476,589.756227698253
690.5728477532277,548.9921798554897
600.9108578215097,483.72880549752483
703.0574020296224,629.9316575758529
580.9031557113021,584.9107062350303
541.6768565091862,553.9765383975513
484.1221023256675,483.9829939207518
584.2794944143261,599.5068961803536
563.8677964470476,553.6763507050339
524.6187189122548,509.2995017399478
462.3549764618555,465.91281440868374
596.2905675905635,643.4964593274572
551.6301017650296,600.9125117274923
532.3922616410109,567.9243254619853
469.7482625469141,486.2108283769916
753.1005291822447,643.7596158372444
717.7043943276791,589.0336052757003
595.5882682549858,561.8198520077141
471.386956858488,489.7717622278957
489.662931386531,625.9263612145674
466.9335638682227,573.1789097200098
458.8671942678071,543.1645761510064
457.65177620109154,482.77680768344163
753.174602017494,687.0812409629029
666.4484480610195,626.7155083006958
639.5619718641304,533.0594592748256
590.4467392385372,454.24938907056355
545.4034794009249,669.8321089732877
533.7014375594252,601.783907503269
441.13860889588346,566.2204713801708
440.76046783578727,492.1483901780338
618.8671914088792,655.0609769430707
564.1363784954237,587.1057110286126
476.1755096212767,548.0128005208303
451.7991712883813,484.222203675921
574.5465252401535,586.8024269735572
546.786302923824,551.0954841408554
506.62031199489616,533.6637440040863
452.6627833180645,480.24593152695127
612.656186770732,668.0242086481902
569.5468887178597,608.9920021332946
563.555621855562,519.7742889281295
528.9306849568111,451.4478173582522
590.8973822687532,625.6621562773104
567.0724655929229,579.8812230539734
554.8414215204972,532.5539481232333
449.46823066679326,469.825657697225
529.9384469988903,641.5067384999201
526.1780121526813,592.6254181487462
463.9538871989624,533.8472748523787
451.7062290751185,467.2250588489186
700.627275495785,622.2359793022167
595.4174258764446,577.0408856688143
533.6610553738483,549.5172509869327
467.97946618439687,483.83935416009086
499.29478078663095,666.4091708853712
447.1465610625411,582.8722742921638
