iter_008_train_190_Actual_Wavelength,iter_008_train_190_Predicted_Wavelength
575.5486722407551,628.1104125976562
563.2357159535104,576.4368896484375
552.1882003404754,533.2041625976562
480.8285145314334,470.58917236328125
558.2422870681537,619.0501098632812
517.8796160593799,570.0960083007812
496.91003110273726,516.4447021484375
438.34312406435185,457.5833435058594
520.7716623631878,612.2718505859375
491.4657762841836,565.0250244140625
459.1061029507962,510.7713623046875
432.327197044576,452.96063232421875
558.5021808890314,628.372314453125
534.152745696776,578.5760498046875
474.11215856882217,513.1094360351562
465.01940426241794,455.5867919921875
753.1005291822447,651.0308227539062
717.7043943276791,593.4356079101562
595.5882682549858,540.7598266601562
471.386956858488,478.6756286621094
579.4580149243694,629.5906982421875
570.3064167873396,580.0626831054688
509.617360517563,540.2380981445312
474.26983647895366,476.17987060546875
807.2637375769092,668.3871459960938
660.4987789000014,604.1283569335938
614.3881041443576,554.103759765625
458.0317942493817,491.24530029296875
527.6626860286387,630.531494140625
522.1136152796408,579.1541137695312
461.8948823953812,507.69329833984375
457.9227390710761,451.23138427734375
562.1902011710922,632.6683349609375
538.0679709738802,580.5658569335938
525.095211952674,507.20977783203125
471.46041520475393,451.7508239746094
846.2989795017129,628.2703247070312
519.3340435775315,578.662841796875
476.0801284568726,506.06109619140625
472.4757093430973,449.9156494140625
579.5766879867067,670.6476440429688
514.568213188165,606.0572509765625
503.4052784630531,548.7337646484375
479.76497042240504,487.5125732421875
633.7378824024624,626.1669311523438
539.8244226081974,576.301513671875
535.1941030202516,514.5982666015625
459.2618719271435,456.5140380859375
510.1714411665308,678.6776733398438
504.062559665145,612.57373046875
489.361788908185,565.0817260742188
450.1084735005105,499.31298828125
618.195107495944,627.1707763671875
588.2131356102992,576.8726806640625
514.4387101205367,511.98052978515625
456.5515428264905,454.90655517578125
810.2016234377421,681.8821411132812
743.825298279839,614.4254150390625
656.114776468272,569.4908447265625
605.537227430502,502.031982421875
734.7944791925964,640.7145385742188
547.5685472748764,586.293701171875
541.7917029056425,548.012451171875
410.2175269194429,482.48419189453125
573.7943117669732,632.6407470703125
565.8129079900003,582.910888671875
517.0931507506743,533.2135620117188
458.7169576715217,470.1781921386719
664.6014143673349,645.796875
619.3985689213596,590.13427734375
518.9311182718285,537.1614379882812
476.479471533738,475.7337951660156
622.3418691115698,642.822265625
561.8216819589815,587.5947265625
472.2113819267588,520.29736328125
468.41237311769976,461.72625732421875
680.3067441056282,677.0581665039062
636.8202661301145,610.6953125
494.8083296652253,559.1141357421875
447.2748230458219,494.40875244140625
539.2630035181747,677.3666381835938
538.9591736445121,611.4247436523438
494.0468783190701,560.29541015625
453.0898359519887,496.0140075683594
596.2905675905635,631.273193359375
551.6301017650296,581.0374755859375
532.3922616410109,523.208740234375
469.7482625469141,462.8470764160156
633.0855537735334,679.1276245117188
626.1386646949923,612.3074340820312
541.5995896549817,570.6109619140625
444.47380938997776,502.72833251953125
528.8204891980407,631.5877685546875
510.3625384901165,580.7734375
494.3328986406138,519.4356689453125
463.91949640449496,460.6780090332031
567.4867090590797,598.6132202148438
565.9883438292702,555.1507568359375
558.1085340311523,508.36785888671875
448.4493169352268,450.6312561035156
698.7827201066591,685.9244384765625
686.5595905806545,617.6900024414062
614.797560251236,569.5013427734375
450.8886448973554,502.50531005859375
702.530986930159,642.6953735351562
563.8065338640872,588.0518798828125
530.0139019122432,550.5828857421875
444.08127459114854,484.13336181640625
700.627275495785,609.8590087890625
595.4174258764446,566.0169677734375
533.6610553738483,532.92431640625
467.97946618439687,471.0119323730469
602.6943258880774,604.7503662109375
572.8205117183716,559.2957153320312
555.0587327575885,513.2989501953125
454.3658736081916,454.033447265625
704.6186162201132,673.6180419921875
651.4513226105233,608.2269287109375
636.8467915059942,561.3287353515625
543.4121991432592,495.74310302734375
645.2571534489554,611.670166015625
598.0329385295252,564.3342895507812
561.5930909347676,516.53564453125
486.5123406637388,456.5873107910156
568.7176027949133,628.9956665039062
549.059168386686,580.0394287109375
509.63069908218574,534.95556640625
462.3016362354688,472.2406005859375
897.7859053342904,672.7953491210938
703.6850127063283,607.5890502929688
628.7890620664117,553.2237548828125
617.50121530202,491.3567810058594
551.7446645653912,626.8790893554688
520.0542634927892,576.4502563476562
464.21164970724425,511.5462646484375
448.8864072957066,454.04510498046875
572.3824839989642,602.3521728515625
567.2599832537726,557.5375366210938
544.9593648872828,509.97442626953125
447.5078756284887,451.6063232421875
599.9067437901979,683.3814697265625
579.622843559374,615.1519775390625
530.752631532557,575.61865234375
446.8294265717018,507.178466796875
521.0028349635531,635.9752197265625
492.8694151072838,583.5308227539062
485.92581181990687,526.0184936523438
477.4816921343061,465.6527404785156
883.9137013393809,638.5790405273438
670.2198203880475,584.4851684570312
628.251506204233,526.0452880859375
607.0226160146337,466.1658935546875
544.0097046304677,635.266845703125
525.0187914938344,582.52685546875
521.1114652109535,511.2486572265625
446.1343339094556,453.922119140625
642.2036243588196,687.9664916992188
602.296448424304,619.3552856445312
483.4807214393936,575.109130859375
440.3836981097085,506.23309326171875
831.5215709029452,634.4304809570312
702.8279199121653,584.0755615234375
627.3304389588875,526.6008911132812
620.4448021319861,464.9888916015625
598.641817832653,628.5811157226562
581.2496063907054,578.7642211914062
552.9567277269363,539.5025024414062
465.736931290636,475.79351806640625
613.3467403349949,602.1085205078125
574.3866705839907,557.1973876953125
568.2488278768235,507.22509765625
453.97680327833547,449.34259033203125
586.826733870532,625.951416015625
558.5088216848934,575.954345703125
534.5227198449309,520.3853149414062
461.4655668837807,461.0255432128906
617.8885202787397,667.8864135742188
582.2590726071375,605.1944580078125
525.2228710201773,558.06103515625
474.0915867474108,493.8594665527344
487.3007546155335,646.2755737304688
452.6130496607777,589.7903442382812
450.5819555706401,536.8336181640625
420.47223918502647,475.6851806640625
747.8713425682434,654.6994018554688
603.1552420896735,596.1690673828125
595.564757016147,558.8290405273438
485.2427962802294,492.1204833984375
808.9820195810361,687.6671752929688
737.6270040010118,618.5579223632812
718.5840110078352,570.3507080078125
587.0235374380363,503.99273681640625
492.34848299947487,627.5105590820312
490.1861035177276,577.30078125
461.0671408438447,516.77685546875
433.9821062432427,458.212646484375
580.214669021434,624.3841552734375
574.4152741961453,574.0883178710938
563.985055817266,526.7647705078125
457.8968754331682,465.52691650390625
602.8558096941915,614.056884765625
537.8163313736185,566.4699096679688
529.7152287926846,512.5219116210938
497.8348305978821,454.6759033203125
816.8647005799231,642.5545654296875
642.6166556645695,586.851318359375
581.5734571327612,541.1165771484375
577.9376358918604,477.4625244140625
474.5193247730624,614.8388671875
456.7290686956979,567.3008422851562
450.0867751540775,516.3739013671875
437.6664699192188,457.0151672363281
880.4209657324252,661.8408203125
723.639895856916,601.0045166015625
722.9494731819235,558.7329711914062
632.392256729312,494.33740234375
