iter_008_train_190_Actual_Wavelength,iter_008_train_190_Predicted_Wavelength
575.5486722407551,611.8499735167528
563.2357159535104,527.5563581120024
552.1882003404754,469.00960257264967
480.8285145314334,420.28880323399403
558.2422870681537,654.627387570029
517.8796160593799,598.6505976693898
496.91003110273726,528.5325810607585
438.34312406435185,459.365878344159
520.7716623631878,662.580583545191
491.4657762841836,598.022787256822
459.1061029507962,522.7100849216588
432.327197044576,452.6585887559077
558.5021808890314,515.957882711033
534.152745696776,531.2750962598242
474.11215856882217,545.9832617554687
465.01940426241794,478.1255049648619
753.1005291822447,716.2147206482059
717.7043943276791,629.4759687477983
595.5882682549858,580.2499672572034
471.386956858488,511.86176905930284
579.4580149243694,608.7583909652303
570.3064167873396,566.099232177729
509.617360517563,524.931182622483
474.26983647895366,454.49489088572784
807.2637375769092,679.2620979037467
660.4987789000014,619.1086462346383
614.3881041443576,579.2642747726129
458.0317942493817,508.7427975660307
527.6626860286387,565.675734296638
522.1136152796408,535.420569113561
461.8948823953812,514.6736870566299
457.9227390710761,448.935873967825
562.1902011710922,590.6005105481286
538.0679709738802,562.0207927760453
525.095211952674,496.8576944035927
471.46041520475393,446.11979577433925
846.2989795017129,576.97503036192
519.3340435775315,541.6261061757357
476.0801284568726,500.52972296393597
472.4757093430973,467.11393260362036
579.5766879867067,738.9868253621154
514.568213188165,656.6164961200551
503.4052784630531,602.4555542825005
479.76497042240504,525.4089880807087
633.7378824024624,623.7175416145797
539.8244226081974,578.8748230008669
535.1941030202516,529.8709244148696
459.2618719271435,447.69218485905714
510.1714411665308,637.2870555546673
504.062559665145,588.8977277774345
489.361788908185,566.2662646330176
450.1084735005105,505.4239022645997
618.195107495944,700.9816964155709
588.2131356102992,615.0350733309895
514.4387101205367,531.6324689863073
456.5515428264905,460.5920623696096
810.2016234377421,684.5125189415196
743.825298279839,623.3681715345823
656.114776468272,562.1261716039496
605.537227430502,494.1949047149614
734.7944791925964,744.9288014326855
547.5685472748764,631.5740888407732
541.7917029056425,568.6056485639294
410.2175269194429,495.8054253760735
573.7943117669732,591.1536727961887
565.8129079900003,560.3603338947601
517.0931507506743,517.4751318283525
458.7169576715217,465.285312492176
664.6014143673349,763.4124445489006
619.3985689213596,662.7138558887751
518.9311182718285,597.1732799071848
476.479471533738,510.16969677322874
622.3418691115698,702.1476457422286
561.8216819589815,605.1822350714856
472.2113819267588,529.2764232694494
468.41237311769976,480.1210781088846
680.3067441056282,687.7896630867841
636.8202661301145,625.5235711626165
494.8083296652253,558.2552297616161
447.2748230458219,491.33691690464144
539.2630035181747,506.947373905129
538.9591736445121,502.5118434710747
494.0468783190701,489.17152597234906
453.0898359519887,461.2066841142778
596.2905675905635,626.4296067703646
551.6301017650296,588.6112314859176
532.3922616410109,537.493749915737
469.7482625469141,499.95966483069736
633.0855537735334,679.8391733250761
626.1386646949923,621.6295850019935
541.5995896549817,561.365464662958
444.47380938997776,493.73427816857134
528.8204891980407,532.378793901521
510.3625384901165,539.0193173353603
494.3328986406138,548.1949656621358
463.91949640449496,479.287839346323
567.4867090590797,582.0974092562674
565.9883438292702,565.6043400202141
558.1085340311523,536.6928672813201
448.4493169352268,454.544949504746
698.7827201066591,680.0354648517693
686.5595905806545,612.4103973230522
614.797560251236,575.1406168865043
450.8886448973554,506.53771158865567
702.530986930159,730.3072557777518
563.8065338640872,622.3727522414044
530.0139019122432,568.2745584918307
444.08127459114854,500.28037224716576
700.627275495785,689.5936064317182
595.4174258764446,624.8829946150485
533.6610553738483,576.6608922327417
467.97946618439687,501.599915952706
602.6943258880774,579.6094860345917
572.8205117183716,566.0130732784127
555.0587327575885,538.251250048043
454.3658736081916,454.7573787721107
704.6186162201132,686.4070246048061
651.4513226105233,620.3761130619968
636.8467915059942,559.5550875522639
543.4121991432592,489.4973391535402
645.2571534489554,537.5062167771192
598.0329385295252,521.6315573345331
561.5930909347676,491.7084750719611
486.5123406637388,456.23080235719857
568.7176027949133,583.3701241445589
549.059168386686,557.3105654143662
509.63069908218574,516.178162553696
462.3016362354688,467.0098984120949
897.7859053342904,731.501842207592
703.6850127063283,651.9964630968478
628.7890620664117,601.0837482949792
617.50121530202,525.137637020842
551.7446645653912,655.4327923793628
520.0542634927892,586.5035662095282
464.21164970724425,515.4316324822597
448.8864072957066,459.50599734103133
572.3824839989642,580.9801545473468
567.2599832537726,565.5613238912666
544.9593648872828,540.364072122313
447.5078756284887,456.7289293692206
599.9067437901979,667.8091483645254
579.622843559374,612.3607552773144
530.752631532557,553.9167525372648
446.8294265717018,489.3735507890437
521.0028349635531,587.2005116601587
492.8694151072838,556.3466992492941
485.92581181990687,497.5769956383564
477.4816921343061,448.73855638895236
883.9137013393809,778.3445300986485
670.2198203880475,660.032550466431
628.251506204233,585.4852515912349
607.0226160146337,509.50842067587814
544.0097046304677,585.9192136925798
525.0187914938344,554.5954756488886
521.1114652109535,531.4507677765741
446.1343339094556,457.18646378570855
642.2036243588196,690.9498423922498
602.296448424304,626.5032403492362
483.4807214393936,558.518376024535
440.3836981097085,489.3059199950543
831.5215709029452,686.5185073602254
702.8279199121653,612.9328134581401
627.3304389588875,546.6173255889694
620.4448021319861,505.68786658337547
598.641817832653,694.2678428158647
581.2496063907054,618.1963902992502
552.9567277269363,560.881211360639
465.736931290636,499.53712093466663
613.3467403349949,582.333889485099
574.3866705839907,567.9807308827485
568.2488278768235,540.3546262089044
453.97680327833547,454.843418795901
586.826733870532,624.339740662666
558.5088216848934,579.4875449181782
534.5227198449309,530.273795092526
461.4655668837807,447.7827333773342
617.8885202787397,605.5204437270858
582.2590726071375,534.2425048906449
525.2228710201773,487.8594940502125
474.0915867474108,463.86909263850936
487.3007546155335,624.3543133147955
452.6130496607777,548.0930280910496
450.5819555706401,503.2184968677286
420.47223918502647,463.9438261218907
747.8713425682434,739.1204676175964
603.1552420896735,643.6042742170172
595.564757016147,581.6886569366933
485.2427962802294,503.1191343284823
808.9820195810361,675.9046531469987
737.6270040010118,609.8177130028809
718.5840110078352,571.9297556457308
587.0235374380363,505.27499521887546
492.34848299947487,574.3964259392392
490.1861035177276,547.2240217134092
461.0671408438447,521.2188486450177
433.9821062432427,448.2843430722864
580.214669021434,573.0595145143104
574.4152741961453,514.8903531816645
563.985055817266,481.9239404690879
457.8968754331682,438.056563970869
602.8558096941915,620.6475090766935
537.8163313736185,597.0544266602978
529.7152287926846,591.4938656777001
497.8348305978821,508.1617433494578
816.8647005799231,796.0450419177336
642.6166556645695,682.57975233719
581.5734571327612,598.5033348187987
577.9376358918604,513.2747951791938
474.5193247730624,594.0721294471716
456.7290686956979,544.8390724158844
450.0867751540775,488.6801731649484
437.6664699192188,440.83289997456075
880.4209657324252,685.6892899630365
723.639895856916,606.196539434987
722.9494731819235,573.950070561667
632.392256729312,517.2949332871144
