iter_008_train_190_Actual_Wavelength,iter_008_train_190_Predicted_Wavelength
575.5486722407551,653.765976125039
563.2357159535104,579.4960036281312
552.1882003404754,519.8550099228214
480.8285145314334,477.72460403218133
558.2422870681537,644.1706088746257
517.8796160593799,606.0607122857701
496.91003110273726,561.1297548784014
438.34312406435185,478.81758197205846
520.7716623631878,616.3820878357774
491.4657762841836,577.6984535089657
459.1061029507962,537.5756769808322
432.327197044576,472.89877843771103
558.5021808890314,589.7346144962371
534.152745696776,542.7651467043867
474.11215856882217,502.048527485699
465.01940426241794,456.2579185254881
753.1005291822447,646.8454291844026
717.7043943276791,591.2117771457785
595.5882682549858,554.8283313449108
471.386956858488,490.78744190134216
579.4580149243694,624.1514467175325
570.3064167873396,576.6621274064727
509.617360517563,525.3292264423144
474.26983647895366,474.7266277087954
807.2637375769092,648.7362746971992
660.4987789000014,608.370656007867
614.3881041443576,573.2046978680161
458.0317942493817,488.21505134766534
527.6626860286387,581.824375591268
522.1136152796408,534.5944054680589
461.8948823953812,515.4480358876166
457.9227390710761,465.12983046735746
562.1902011710922,638.8376801444658
538.0679709738802,582.7697499009868
525.095211952674,514.0743310616291
471.46041520475393,458.47535703569207
846.2989795017129,588.7644169303242
519.3340435775315,548.8942882859476
476.0801284568726,500.9254696350488
472.4757093430973,454.5847553449666
579.5766879867067,674.5568047397365
514.568213188165,609.178461927657
503.4052784630531,553.2580593892054
479.76497042240504,494.6284530241647
633.7378824024624,651.1456883389841
539.8244226081974,593.765333774974
535.1941030202516,551.7071201991655
459.2618719271435,483.6719244890319
510.1714411665308,632.4906845762331
504.062559665145,561.9313530384379
489.361788908185,533.4618115595249
450.1084735005105,493.1901921792592
618.195107495944,650.3851390299517
588.2131356102992,603.1146548692371
514.4387101205367,541.8714672238413
456.5515428264905,458.8005498763263
810.2016234377421,675.8575935253757
743.825298279839,613.0989440753153
656.114776468272,541.3674347437293
605.537227430502,472.0175123001205
734.7944791925964,624.0830619551382
547.5685472748764,564.4733679277144
541.7917029056425,525.8312371143921
410.2175269194429,466.21249640414726
573.7943117669732,620.4043524394207
565.8129079900003,577.2552473400661
517.0931507506743,523.3090552234245
458.7169576715217,471.6779205075641
